word,album_name,N,tf,idf,tf_idf
gonna,The Golden Casket,19,0.165217391304348,1.3793256918038,0.227888592558888
light,The Golden Casket,19,0.431818181818182,1.3793256918038,0.595617912369822
nice,The Lonesome Crowded West,44,0.785714285714286,1.55059741241117,1.21832653832306
yeah,The Lonesome Crowded West,29,0.252173913043478,1.55059741241117,0.391020217042816
bleed,The Lonesome Crowded West,22,0.916666666666667,1.55059741241117,1.4213809613769
citi,The Lonesome Crowded West,21,0.65625,1.55059741241117,1.01757955189483
hang,The Lonesome Crowded West,20,0.833333333333333,1.55059741241117,1.29216451034264
road,The Lonesome Crowded West,19,0.527777777777778,1.55059741241117,0.818370856550338
drunk,The Lonesome Crowded West,19,0.826086956521739,1.55059741241117,1.28092829720922
ic,The Lonesome Crowded West,18,0.620689655172414,1.55059741241117,0.962439773220724
distanc,The Lonesome Crowded West,18,0.947368421052632,1.55059741241117,1.46898702228426
feel,The Lonesome Crowded West,17,0.191011235955056,1.55059741241117,0.296181528213369
god,The Lonesome Crowded West,17,0.265625,1.55059741241117,0.411877437671716
dai,The Lonesome Crowded West,17,0.217948717948718,1.55059741241117,0.337950718089613
life,The Moon & Antarctica,20,0.454545454545455,1.77099747777963,0.804998853536194
hei,The Moon & Antarctica,17,0.447368421052632,1.77099747777963,0.792288345322464
hard,The Moon & Antarctica,16,0.390243902439024,1.77099747777963,0.691120966938391
rememb,The Moon & Antarctica,16,0.4,1.77099747777963,0.70839899111185
gonna,The Moon & Antarctica,14,0.121739130434783,1.77099747777963,0.215599692947085
time,The Moon & Antarctica,14,0.108527131782946,1.77099747777963,0.192201276658254
weed,The Moon & Antarctica,14,0.777777777777778,1.77099747777963,1.37744248271749
world,The Moon & Antarctica,13,0.325,1.77099747777963,0.575574180278378
earth,The Moon & Antarctica,12,0.6,1.77099747777963,1.06259848666778
fall,The Moon & Antarctica,11,0.366666666666667,1.77099747777963,0.649365741852529
cold,The Moon & Antarctica,11,0.5,1.77099747777963,0.885498738889813
head,This Is a Long Drive for Someone with Nothing to Think About,41,0.546666666666667,1.6188056624377,0.884947095465943
south,This Is a Long Drive for Someone with Nothing to Think About,40,1,1.6188056624377,1.6188056624377
break,This Is a Long Drive for Someone with Nothing to Think About,15,0.652173913043478,1.6188056624377,1.05574282332894
ohio,This Is a Long Drive for Someone with Nothing to Think About,15,1,1.6188056624377,1.6188056624377
yeah,This Is a Long Drive for Someone with Nothing to Think About,14,0.121739130434783,1.6188056624377,0.197071993688068
feel,This Is a Long Drive for Someone with Nothing to Think About,12,0.134831460674157,1.6188056624377,0.218265932014072
light,This Is a Long Drive for Someone with Nothing to Think About,9,0.204545454545455,1.6188056624377,0.331119340044075
water,This Is a Long Drive for Someone with Nothing to Think About,8,0.266666666666667,1.6188056624377,0.431681509983387
mind,This Is a Long Drive for Someone with Nothing to Think About,7,0.205882352941176,1.6188056624377,0.333283518737174
swim,This Is a Long Drive for Someone with Nothing to Think About,7,0.4375,1.6188056624377,0.708227477316494
dog,This Is a Long Drive for Someone with Nothing to Think About,7,0.28,1.6188056624377,0.453265585482556
paddl,This Is a Long Drive for Someone with Nothing to Think About,7,1,1.6188056624377,1.6188056624377
