track_id,id,artist_name,album_name,release_date,track_name,track_number,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0SCJXZZKUHgbWmUkhCpA9H,0TGTGuc2vXv6ZECoAf52N0,Modest Mouse,Good News For People Who Love Bad News,2004-04-05,Interlude (Milo),12,0.111,0.0792,-15.796,1,0.0377,0.17,0.877,0.101,0.34,89.658,58893
0UhIdavKe4EQSJCTPd6wQa,0TGTGuc2vXv6ZECoAf52N0,Modest Mouse,Good News For People Who Love Bad News,2004-04-05,Black Cadillacs,14,0.654,0.786,-4.697,1,0.0879,0.132,0,0.0756,0.806,120.097,163427
0boXJ9srSz8k62oWedG8fK,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,Birds Vs Worms,1,0.607,0.456,-11.809,1,0.0298,0.244,0.726,0.0796,0.765,105.938,133333
0iyvEYrbUWOa2eMcj4XuGz,2fzFo9ypJRRla1N2IYOoQP,Modest Mouse,Building Nothing Out of Something,2000-01-18,Never Ending Math Equation,1,0.389,0.712,-6.275,1,0.0645,0.0385,1.31e-05,0.0678,0.896,182.89,203667
0mOb05UKHRhE2RDIe6uEBm,5mvHTVy1iUIkAflIufoOpj,Modest Mouse,The Lonesome Crowded West,1997-11-18,Shit Luck,11,0.3,0.945,-2.033,0,0.0555,0.000359,0.643,0.557,0.597,166.125,142640
0uGrzQvdAlRVDgsM5lEMuC,3PTktNuj2FItJr8afuiieo,Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About,1996-04-16,Novocain Stain,10,0.427,0.816,-8.672,1,0.0353,0.0932,0.00901,0.0928,0.458,97.37,222960
0w85Ccseg5ntr73w1DxWYE,0hnwu9WUcXrL23w5WPrbOX,Modest Mouse,The Golden Casket,2021-06-25,Walking And Running,4,0.552,0.917,-3.242,1,0.166,0.096,3.54e-05,0.112,0.771,176.814,181533
12Hs9Z0oEE7B84VbMGRNdB,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,Every Penny Fed Car,10,0.278,0.762,-8.78,1,0.091,0.214,0.000316,0.328,0.359,155.157,186533
19KYXwOkJXAC6ymLvZYlt6,5mvHTVy1iUIkAflIufoOpj,Modest Mouse,The Lonesome Crowded West,1997-11-18,Doin' The Cockroach,6,0.454,0.863,-4.049,0,0.0605,0.000163,0.0346,0.195,0.406,131.231,258733
1AhLmSV0uOFvLIyrGO2zJc,0hnwu9WUcXrL23w5WPrbOX,Modest Mouse,The Golden Casket,2021-06-25,Back To The Middle,12,0.59,0.843,-4.643,1,0.0312,0.000175,0.597,0.122,0.505,133.02,232227
1EbUYOmJkqKgUYgC2OI7Tc,5SbcupirEParczvqqyUPXL,Modest Mouse,The Moon & Antarctica,2000-06-13,Tiny Cities Made Of Ashes,5,0.732,0.812,-5.42,1,0.0354,0.0132,0.0151,0.0577,0.825,122.675,194360
1Htkh4wKIhzbCLuGmSXiSq,2fzFo9ypJRRla1N2IYOoQP,Modest Mouse,Building Nothing Out of Something,2000-01-18,Workin' On Leavin' The Livin',5,0.213,0.708,-6.563,1,0.0295,0.0726,0.751,0.107,0.215,79.042,400213
1UR0lWHLSCx2naiD7bq9FW,2lXBCL76UL5PCPbfAqKBkz,Modest Mouse,We Were Dead Before The Ship Even Sank,2007-03-20,Little Motel,10,0.616,0.462,-9.135,1,0.0271,0.279,0.00473,0.153,0.23,101.983,284187
1UnB75lnUCGkgru3tEsQYY,0TGTGuc2vXv6ZECoAf52N0,Modest Mouse,Good News For People Who Love Bad News,2004-04-05,Dance Hall,7,0.405,0.931,-4.459,0,0.0498,0.00594,0.107,0.673,0.655,187.159,177067
1Uo8Bm1wMN7F1YtbmcZ5oH,6iKqPv9C5oU29LR82N8lJf,Modest Mouse,Strangers to Ourselves,2015-03-13,The Tortoise and the Tourist,13,0.452,0.817,-5.478,1,0.0482,0.0462,0.12,0.153,0.513,155.103,220667
1WaDSODqBI9Pd3A7vALkp0,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,Four Fingered Fisherman,2,0.302,0.585,-9.275,1,0.0354,0.174,3.59e-05,0.109,0.461,87.511,147773
1cQqX6dPyzsP8TCeT0auEu,5SbcupirEParczvqqyUPXL,Modest Mouse,The Moon & Antarctica,2000-06-13,Perfect Disguise,4,0.517,0.359,-10.166,1,0.032,0.73,0.207,0.314,0.141,123.848,152000
1eyQ58phnlbaoyLSWcma6Q,1jSTXHarvMPAUDuNCC8B9H,Modest Mouse,Baron Von Bullshit Rides Again,2004-04-06,"Doin' the Cockroach - Live at the Social, Orlando, FL - February 2004",7,0.374,0.956,-6.071,0,0.0926,0.0023,0.26,0.95,0.454,124.109,450107
1fBO9S4vo5cfCfRK1Ofaxa,0TGTGuc2vXv6ZECoAf52N0,Modest Mouse,Good News For People Who Love Bad News,2004-04-05,The Good Times Are Killing Me,16,0.691,0.551,-8.984,1,0.0389,0.386,0.00115,0.223,0.654,93.979,256800
1fxorV87isxMsQQlvkOGeI,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,Dukes Up,8,0.463,0.467,-9.688,1,0.0306,0.0884,0.0542,0.141,0.509,95.195,144507
1l0DNDAeXrmOngEEDyRW51,2fzFo9ypJRRla1N2IYOoQP,Modest Mouse,Building Nothing Out of Something,2000-01-18,Other People's Lives,12,0.52,0.805,-5.841,1,0.0408,0.41,0.000122,0.314,0.567,80.118,430360
1mEGwePg2o0TOiDksyf8Qf,6iKqPv9C5oU29LR82N8lJf,Modest Mouse,Strangers to Ourselves,2015-03-13,God is an Indian and You're an Asshole,12,0.618,0.451,-8.172,1,0.0821,0.139,0,0.11,0.375,137.031,77120
1pPqVrG2RCHXx81Aw4xp99,5SbcupirEParczvqqyUPXL,Modest Mouse,The Moon & Antarctica,2000-06-13,Gravity Rides Everything,2,0.395,0.443,-7.972,1,0.0396,0.431,0.0352,0.504,0.714,103.262,259840
1txsP5vvCg4S13iHiOfusf,2lXBCL76UL5PCPbfAqKBkz,Modest Mouse,We Were Dead Before The Ship Even Sank,2007-03-20,We've Got Everything,7,0.674,0.976,-2.651,0,0.0363,0.163,0,0.361,0.674,117.528,220373
1ypxlH0Ay2kjsyuHEHJsLF,0hnwu9WUcXrL23w5WPrbOX,Modest Mouse,The Golden Casket,2021-06-25,The Sun Hasn't Left,7,0.554,0.922,-3.895,1,0.0998,0.0193,0.000849,0.0672,0.559,168.055,263547
20iMumN7WDTDWgY0c3UvCB,5SbcupirEParczvqqyUPXL,Modest Mouse,The Moon & Antarctica,2000-06-13,Wild Packs of Family Dogs,10,0.583,0.363,-6.16,1,0.028,0.658,0,0.138,0.635,99.796,104400
2547jBCKk9bjJwANcCYjT2,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,It Always Rains On A Picnic,7,0.488,0.503,-13.315,1,0.0361,0.3,0.59,0.378,0.357,89.783,181760
27QCaXOhT6qY0NT6tv5IZ6,0TGTGuc2vXv6ZECoAf52N0,Modest Mouse,Good News For People Who Love Bad News,2004-04-05,Bukowski,8,0.622,0.413,-9.975,1,0.0457,0.0839,0.00235,0.131,0.52,130.166,254667
28lW1wU0m8ZpIGE6UZNmUj,5SbcupirEParczvqqyUPXL,Modest Mouse,The Moon & Antarctica,2000-06-13,I Came As a Rat,12,0.561,0.706,-7.389,1,0.0627,0.0449,0.0152,0.2,0.537,112.561,227333
2AayCT1MtBtiiPYtio48fA,2fzFo9ypJRRla1N2IYOoQP,Modest Mouse,Building Nothing Out of Something,2000-01-18,"Whenever You Breathe Out, I Breathe In (Positive Negative)",11,0.469,0.399,-7.55,1,0.0339,0.857,0.44,0.147,0.203,115.67,318373
2EXgWG1du5tRQDjybnZZLn,2lXBCL76UL5PCPbfAqKBkz,Modest Mouse,We Were Dead Before The Ship Even Sank,2007-03-20,Education,9,0.677,0.778,-4.62,0,0.0323,0.0298,0,0.36,0.954,95.96,236373
2FgVVn5jX8lE7nSLnYKLhE,0TGTGuc2vXv6ZECoAf52N0,Modest Mouse,Good News For People Who Love Bad News,2004-04-05,One Chance,15,0.461,0.675,-6.098,1,0.0659,0.304,0.00711,0.132,0.423,186.183,181507
2KqrlWhsVrSwZpzsUlsf22,6iKqPv9C5oU29LR82N8lJf,Modest Mouse,Strangers to Ourselves,2015-03-13,Wicked Campaign,10,0.588,0.772,-6.05,1,0.0429,0.255,0.102,0.111,0.641,132.307,213867
2OOIyMjLbrLMeg2EXShcOh,0hnwu9WUcXrL23w5WPrbOX,Modest Mouse,The Golden Casket,2021-06-25,Wooden Soldiers,5,0.665,0.662,-5.297,1,0.0448,0.0652,0.000181,0.283,0.241,115.925,355480
2OOPz8wZMeU6LvtkbuUivn,1jSTXHarvMPAUDuNCC8B9H,Modest Mouse,Baron Von Bullshit Rides Again,2004-04-06,"3rd Planet - Live at the Social, Orlando, FL - February 2004",1,0.352,0.764,-6.214,1,0.0522,0.122,4.13e-05,0.816,0.535,164.831,325400
2RE9Gd19VKNpwZ8dz7yuDE,2lXBCL76UL5PCPbfAqKBkz,Modest Mouse,We Were Dead Before The Ship Even Sank,2007-03-20,People As Places As People,13,0.676,0.891,-5.732,1,0.0267,0.0248,0.00787,0.571,0.845,110.174,222147
2VtJIDBftrm6D3LD29Cy40,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,BMX Crash,19,0.662,0.922,-6.432,1,0.866,0.992,0.91,0.466,0.669,81.832,28320
2c6vTvGOpYH60ee8TYYXxJ,2fzFo9ypJRRla1N2IYOoQP,Modest Mouse,Building Nothing Out of Something,2000-01-18,Baby Blue Sedan,7,0.501,0.296,-10.953,1,0.0341,0.67,5.06e-05,0.102,0.497,152.079,244880
2eg60uMsbVEKug2UFn9AoT,6iKqPv9C5oU29LR82N8lJf,Modest Mouse,Strangers to Ourselves,2015-03-13,"Pistol (A. Cunanan, Miami, FL. 1996)",4,0.681,0.822,-5.682,0,0.0483,0.0138,0.000339,0.08,0.878,105,221947
2fuyvgZWygTNGxxsR6ECVm,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,Wood Grain,18,0.541,0.577,-7.795,1,0.0617,0.976,0.0749,0.274,0.927,104.986,30067
2lwwrWVKdf3LR9lbbhnr6R,0TGTGuc2vXv6ZECoAf52N0,Modest Mouse,Good News For People Who Love Bad News,2004-04-05,Float On,3,0.649,0.888,-4.807,1,0.0293,0.013,2.23e-06,0.0888,0.553,100.975,208467
2oe4wyycSHGBXGIaY4Fll5,5SbcupirEParczvqqyUPXL,Modest Mouse,The Moon & Antarctica,2000-06-13,Lives,13,0.481,0.374,-7.056,1,0.0305,0.832,1.24e-05,0.0937,0.334,131.113,197907
2q5zd5u4A4JzAbes2VDPjk,0TGTGuc2vXv6ZECoAf52N0,Modest Mouse,Good News For People Who Love Bad News,2004-04-05,Blame It On the Tetons,13,0.401,0.307,-14.729,1,0.0301,0.204,0.23,0.129,0.525,81.98,324973
2qo2hO7PaWBNkZe3M6nvrK,3PTktNuj2FItJr8afuiieo,Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About,1996-04-16,Talking Shit About a Pretty Sunset,14,0.473,0.714,-9.16,1,0.0402,0.506,0.00288,0.159,0.31,138.345,350493
2zc8bzU9Eg498tbPRdobCl,6iKqPv9C5oU29LR82N8lJf,Modest Mouse,Strangers to Ourselves,2015-03-13,The Best Room,14,0.589,0.9,-3.376,1,0.0296,0.0323,0,0.32,0.723,95,264613
31GH5YKy2EkyKAp8XgFJhY,0hnwu9WUcXrL23w5WPrbOX,Modest Mouse,The Golden Casket,2021-06-25,Transmitting Receiving,6,0.529,0.709,-6.735,1,0.0339,0.00246,0.13,0.0796,0.379,105.002,340707
35yGUlx2NEpiLRhMJvgPIZ,3PTktNuj2FItJr8afuiieo,Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About,1996-04-16,Dog Paddle,9,0.722,0.853,-7.896,0,0.0418,0.231,0.00537,0.122,0.94,107.093,122733
3APFEFWr7FcD24M3r45UPv,2fzFo9ypJRRla1N2IYOoQP,Modest Mouse,Building Nothing Out of Something,2000-01-18,Sleep Walkin',9,0.33,0.341,-9.331,1,0.0643,0.674,1e-05,0.131,0.561,174.058,203853
3CpgHxarWhDYK3fWJ6C4uC,3PTktNuj2FItJr8afuiieo,Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About,1996-04-16,Head South,8,0.413,0.91,-6.662,1,0.0841,0.32,2.74e-05,0.386,0.52,97.311,262040
3E0kaDAqk538EHarelqHJu,3PTktNuj2FItJr8afuiieo,Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About,1996-04-16,Beach Side Property,6,0.517,0.671,-8.803,1,0.0631,0.367,0.00325,0.172,0.442,109.695,419467
3GcRZ1Q9Q6NIeDNw3MVAWS,5mvHTVy1iUIkAflIufoOpj,Modest Mouse,The Lonesome Crowded West,1997-11-18,Trailer Trash,8,0.488,0.628,-4.579,1,0.0348,0.0783,0.00519,0.0618,0.715,164.011,349600
3V8Ga0tDUxLtOBgUkplxTY,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,Race Car Grin You Ain't No Landmark,12,0.483,0.312,-8.74,1,0.159,0.941,0.564,0.183,0.418,149.737,73627
3knvtUJiuDs1WZsbrR1puY,5SbcupirEParczvqqyUPXL,Modest Mouse,The Moon & Antarctica,2000-06-13,The Cold Part,7,0.562,0.514,-9.066,0,0.0232,0.31,0.706,0.107,0.257,83.877,300933
3oNNoQOCA81S0SBkn8Hs7l,2lXBCL76UL5PCPbfAqKBkz,Modest Mouse,We Were Dead Before The Ship Even Sank,2007-03-20,Spitting Venom,12,0.305,0.613,-4.652,0,0.047,0.00708,0.00245,0.121,0.547,183.992,507160
3qGMykHcjGcsIRj35fUoS7,1jSTXHarvMPAUDuNCC8B9H,Modest Mouse,Baron Von Bullshit Rides Again,2004-04-06,"Broke - Live at the Social, Orlando, FL - February 2004",4,0.515,0.536,-8.797,1,0.0332,0.0519,0.0672,0.791,0.592,110.718,216427
3qar5CPWNBCAo9yiJrjQsW,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,From Point A To Point B (Infinity),5,0.327,0.515,-9.793,1,0.0348,0.453,0.1,0.159,0.42,92.588,176227
3sUvL6zVOsXzLI58BQ1bgd,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,Wagon Ride Return,3,0.735,0.0204,-19.603,1,0.0982,0.526,0.000474,0.0975,0.377,55.961,48267
3sp92RPdzT14o56XGXGMpG,0hnwu9WUcXrL23w5WPrbOX,Modest Mouse,The Golden Casket,2021-06-25,Fuck Your Acid Trip,1,0.684,0.834,-5.705,1,0.104,0.0465,0.000796,0.117,0.374,94.939,191720
3tuC2PqYsBplcBKKbl4X10,5SbcupirEParczvqqyUPXL,Modest Mouse,The Moon & Antarctica,2000-06-13,Dark Center Of The Universe,3,0.246,0.826,-3.505,1,0.059,0.00808,7.7e-06,0.0675,0.24,192.578,302733
3vT8gzLffHjauZNwt4BtPN,5mvHTVy1iUIkAflIufoOpj,Modest Mouse,The Lonesome Crowded West,1997-11-18,Out Of Gas,9,0.806,0.616,-6.214,1,0.0378,0.346,0.0279,0.145,0.519,81.005,151133
3ydXDfJ7hRPAKePR1l0IGZ,2lXBCL76UL5PCPbfAqKBkz,Modest Mouse,We Were Dead Before The Ship Even Sank,2007-03-20,Fly Trapped In a Jar,8,0.458,0.747,-4.92,1,0.039,0.00329,5.34e-06,0.0817,0.493,104.913,269053
40F3i6gKdUibqjyZdW1o4D,5mvHTVy1iUIkAflIufoOpj,Modest Mouse,The Lonesome Crowded West,1997-11-18,"Styrofoam Boots/It's All On Ice, Alright",15,0.632,0.655,-7.042,1,0.0444,0.266,0.189,0.106,0.168,121.558,413133
47UsZiH2ul5QWjaY2aPbEK,2lXBCL76UL5PCPbfAqKBkz,Modest Mouse,We Were Dead Before The Ship Even Sank,2007-03-20,March Into the Sea,1,0.37,0.862,-5.413,0,0.235,0.0057,0.0325,0.11,0.556,200.917,210813
49GcwWqC0nyCNIRYUwSePh,3PTktNuj2FItJr8afuiieo,Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About,1996-04-16,Tundra/Desert,11,0.313,0.853,-7.863,1,0.168,0.0121,0.00494,0.583,0.175,123.811,324907
49ObfNOw2LjlW1KeMKa7XQ,1jSTXHarvMPAUDuNCC8B9H,Modest Mouse,Baron Von Bullshit Rides Again,2004-04-06,"I Came As a Rat - Live at the Social, Orlando, FL - February 2004",6,0.476,0.692,-7.549,0,0.0346,0.0404,0.658,0.687,0.507,103.627,384027
4FLlGQ6lstJxjYnkheIXPX,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,Sucker Bet,20,0.37,0.444,-8.299,1,0.0485,0.929,0.267,0.11,0.499,97.921,79533
4NyqwUUUkoN63rAgE8hY77,0hnwu9WUcXrL23w5WPrbOX,Modest Mouse,The Golden Casket,2021-06-25,Lace Your Shoes,8,0.334,0.525,-7.133,1,0.0352,0.0223,0.761,0.0806,0.385,170.222,325427
4RPEQlksMlglkqvfDUeE2C,2lXBCL76UL5PCPbfAqKBkz,Modest Mouse,We Were Dead Before The Ship Even Sank,2007-03-20,Invisible,14,0.531,0.984,-1.678,0,0.0492,0.0429,0.000194,0.235,0.639,132.008,239720
4S6jCIsUpnOu79uWPjvaAf,5SbcupirEParczvqqyUPXL,Modest Mouse,The Moon & Antarctica,2000-06-13,The Stars Are Projectors,9,0.367,0.776,-6.878,0,0.105,0.404,0.0103,0.199,0.263,74.613,525733
4ToYlykhwpW98KtMIGnWQK,0TGTGuc2vXv6ZECoAf52N0,Modest Mouse,Good News For People Who Love Bad News,2004-04-05,Ocean Breathes Salty,4,0.646,0.964,-3.177,1,0.0369,0.0407,3.65e-06,0.293,0.747,95.479,224333
4XtLP7bC6OPyTRlHcJBmhq,2fzFo9ypJRRla1N2IYOoQP,Modest Mouse,Building Nothing Out of Something,2000-01-18,Grey Ice Water,10,0.528,0.632,-7.697,1,0.0336,0.0607,0.142,0.107,0.322,168.146,305147
4YV4Egkx56QCZFsMdUUZ25,3PTktNuj2FItJr8afuiieo,Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About,1996-04-16,Ohio,12,0.514,0.787,-9.046,1,0.073,0.668,1.14e-05,0.102,0.52,180.319,361960
4asjU3sDnn3002bTJIg2vZ,2lXBCL76UL5PCPbfAqKBkz,Modest Mouse,We Were Dead Before The Ship Even Sank,2007-03-20,Missed the Boat,6,0.71,0.698,-5.797,1,0.0332,0.0697,0,0.478,0.852,104.007,264813
4bli6uyPanbB5HzRTbKeDF,0hnwu9WUcXrL23w5WPrbOX,Modest Mouse,The Golden Casket,2021-06-25,Japanese Trees,11,0.55,0.861,-3.974,1,0.0525,0.00056,0.00597,0.0816,0.797,90.975,185520
4cr7fuS36WkfFXb4Lt6DIJ,1jSTXHarvMPAUDuNCC8B9H,Modest Mouse,Baron Von Bullshit Rides Again,2004-04-06,"Never Ending Math Equation - Live at the Social, Orlando, FL - February 2004",2,0.371,0.886,-4.926,1,0.0346,0.0732,0.00991,0.945,0.602,95.727,218867
4fFZRR2rvW6Ke8cPrSRIzv,3PTktNuj2FItJr8afuiieo,Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About,1996-04-16,Breakthrough,2,0.555,0.854,-5.568,1,0.0519,0.214,0.000422,0.119,0.91,110.602,246840
4gCrnylGVkoeEzfGvn9egO,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,Path Of Least Resistance,6,0.367,0.1,-17.565,1,0.0453,0.775,0.0056,0.115,0.0606,191.77,28093
4obLH3jJbGekYYvon0pYlS,2fzFo9ypJRRla1N2IYOoQP,Modest Mouse,Building Nothing Out of Something,2000-01-18,Broke,3,0.475,0.8,-5.746,1,0.0418,0.817,0.519,0.327,0.355,115.424,199307
4vxMBTE4SLIdJUcwlfMTBG,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,Red Hand Case,13,0.46,0.306,-11.254,1,0.0287,0.107,0.0786,0.199,0.26,90.056,157120
55N59YgXzLKyVKrqfnTjJV,2lXBCL76UL5PCPbfAqKBkz,Modest Mouse,We Were Dead Before The Ship Even Sank,2007-03-20,Parting of the Sensory,5,0.59,0.954,-4.679,0,0.0726,0.16,0.000242,0.159,0.718,129.979,334373
5A0iajc7nhlZv9tGDHqZya,5mvHTVy1iUIkAflIufoOpj,Modest Mouse,The Lonesome Crowded West,1997-11-18,Cowboy Dan,7,0.395,0.639,-4.833,1,0.0391,0.00463,0.0152,0.111,0.213,170.848,374800
5AMLekLilv1EI5XefQ4GAs,3PTktNuj2FItJr8afuiieo,Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About,1996-04-16,Exit Does Not Exist,13,0.429,0.869,-6.233,0,0.0399,0.0111,0.0108,0.133,0.879,114.161,297707
5BzQvpJt4C90POnaTNaToM,2lXBCL76UL5PCPbfAqKBkz,Modest Mouse,We Were Dead Before The Ship Even Sank,2007-03-20,Fire It Up,3,0.632,0.7,-5.732,1,0.0349,0.000225,1.87e-05,0.395,0.686,172.02,274613
5CJ7vwKp7SZW9VGYM13nSb,6iKqPv9C5oU29LR82N8lJf,Modest Mouse,Strangers to Ourselves,2015-03-13,Be Brave,11,0.333,0.579,-5.924,0,0.0489,0.2,5.94e-06,0.131,0.678,75.431,210987
5CSxHyFVn0SV6Hsoac2U3C,3PTktNuj2FItJr8afuiieo,Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About,1996-04-16,Lounge,5,0.532,0.539,-11.316,1,0.13,0.822,0.456,0.111,0.157,84.466,393133
5EsM3rVaMDRsOXJq7oe3tY,5mvHTVy1iUIkAflIufoOpj,Modest Mouse,The Lonesome Crowded West,1997-11-18,Polar Opposites,13,0.478,0.552,-6.46,1,0.0337,0.129,0.169,0.103,0.886,176.156,209960
5GTbTMtF8stO9mjkn3iLpU,2fzFo9ypJRRla1N2IYOoQP,Modest Mouse,Building Nothing Out of Something,2000-01-18,All Night Diner,6,0.482,0.805,-6.295,1,0.266,0.0416,0,0.205,0.58,170.608,284280
5JIdzOHynj0wI8tpvd15Ug,5SbcupirEParczvqqyUPXL,Modest Mouse,The Moon & Antarctica,2000-06-13,What People Are Made Of,15,0.404,0.857,-5.278,0,0.0548,0.000535,0.195,0.0994,0.54,165.843,134240
5JxwsDnBOTlnBvgb7gw98r,1jSTXHarvMPAUDuNCC8B9H,Modest Mouse,Baron Von Bullshit Rides Again,2004-04-06,"Paper Thin Walls - Live at the Social, Orlando, FL - February 2004",5,0.473,0.613,-8.431,1,0.116,0.281,0.000283,0.795,0.542,122.155,291440
5N5fiwj4ZYv9F3sKoIFzC6,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,Call To Dial-A-Song (Left By Spencer Moody),16,0.739,0.363,-17.888,1,0.884,0.994,0.501,0.11,0.727,81.324,31853
5OyurLkQVrXM7I33eiF696,0TGTGuc2vXv6ZECoAf52N0,Modest Mouse,Good News For People Who Love Bad News,2004-04-05,Dig Your Grave,5,0,0.22,-14.549,0,0,0.926,0.0232,0.218,0,0,12933
5YHAHZJLVL2BFPDPh2ulYR,0hnwu9WUcXrL23w5WPrbOX,Modest Mouse,The Golden Casket,2021-06-25,Leave A Light On,10,0.599,0.776,-6.667,1,0.0754,0.23,0.00231,0.227,0.596,128.035,258867
5aUn8l6MaYrh9yNBzrLEBF,5mvHTVy1iUIkAflIufoOpj,Modest Mouse,The Lonesome Crowded West,1997-11-18,Teeth Like God's Shoeshine,1,0.437,0.696,-4.39,0,0.0651,0.00638,4.66e-05,0.356,0.258,110.541,413307
5b9lH8ThEcXGWsBM3TqAi5,0TGTGuc2vXv6ZECoAf52N0,Modest Mouse,Good News For People Who Love Bad News,2004-04-05,This Devil's Workday,9,0.47,0.635,-5.716,0,0.0446,0.779,0,0.562,0.913,210.025,139307
5gtjm4ZrsGUGUwzXsB4zCw,5SbcupirEParczvqqyUPXL,Modest Mouse,The Moon & Antarctica,2000-06-13,Paper Thin Walls,11,0.588,0.793,-5.77,0,0.0363,0.0775,8.43e-05,0.133,0.682,126.67,181267
5ixu6blEg718Jy1D4V1Cf6,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,Mice Eat Cheese,11,0.486,0.324,-16.419,1,0.0536,0.636,0.686,0.0926,0.238,131.871,146573
